Suburb,Postcode,State,"Property
Type","Region
(SA4)",Investor Score (Out Of 100),Growth Gap Index,10 Year Growth,Yield Score,Buy Affordability Score,Rent Affordability Score,Latitude,Longitude
West Bendigo,3550,Victoria,House,Bendigo,74,90,78,96,100,76,-36.7515289981956,144.24561526671
West Creek,3992,Victoria,House,Latrobe - Gippsland,82,90,100,70,96,77,-38.5548194660993,145.609610213345
West Footscray,3012,Victoria,House,Melbourne - West,72,100,72,55,95,98,-37.801553344641,144.870239905434
West Footscray,3012,Victoria,Unit,Melbourne - West,62,75,72,90,100,100,-37.801553344641,144.870239905434
West Melbourne,3003,Victoria,Unit,Melbourne - Inner,70,75,32,100,100,74,-37.8107814758558,144.920358463567
West Wodonga,3690,Victoria,House,Hume,84,90,100,97,100,72,-36.1008442657743,146.828602993234
West Wodonga,3690,Victoria,Unit,Hume,83,68,100,100,100,100,-36.1008442657743,146.828602993234
Westbury (Vic.),3825,Victoria,House,Latrobe - Gippsland,61,90,100,51,79,31,-38.1442268781985,146.223033056766
Westmeadows,3049,Victoria,House,Melbourne - North West,78,100,99,80,100,72,-37.6759153746856,144.895033062598
Westmeadows,3049,Victoria,Unit,Melbourne - North West,74,75,99,99,100,78,-37.6759153746856,144.895033062598
Whanregarwen,3714,Victoria,House,Hume,75,90,100,76,100,100,-37.2218860660822,145.633324535485
Wharparilla,3564,Victoria,House,Shepparton,87,90,100,100,100,100,-36.0849105705882,144.632019146445
Wheatsheaf,3461,Victoria,House,Ballarat,66,100,100,51,71,10,-37.3372616705716,144.242802062172
Wheelers Hill,3150,Victoria,Unit,Melbourne - South East,79,75,90,52,86,80,-37.907325273738,145.182889279602
Wheelers Hill,3150,Victoria,House,Melbourne - South East,67,100,90,40,61,12,-37.907325273738,145.182889279602
White Hills (Vic.),3550,Victoria,House,Bendigo,72,90,78,95,100,79,-36.722798398226,144.303499723939
White Hills (Vic.),3550,Victoria,Unit,Bendigo,65,68,78,74,100,100,-36.722798398226,144.303499723939
Whiteheads Creek,3660,Victoria,House,Hume,72,90,100,57,100,100,-37.0518140866106,145.258517975572
Whitfield (Vic.),3733,Victoria,House,Hume,78,90,100,53,77,54,-36.7541214903236,146.421562477298
Whittington,3219,Victoria,Unit,Geelong,70,75,97,90,96,41,-38.1769434232618,144.392400805942
Whittington,3219,Victoria,House,Geelong,68,100,97,83,86,17,-38.1769434232618,144.392400805942
Whittlesea,3757,Victoria,House,Melbourne - North East,73,100,100,76,100,79,-37.4673620963117,145.1204584135
Whittlesea,3757,Victoria,Unit,Melbourne - North East,68,75,100,100,100,100,-37.4673620963117,145.1204584135
Whorouly,3735,Victoria,House,Hume,82,90,100,53,86,79,-36.5189118884252,146.585533675515
Wickliffe,3379,Victoria,House,North West,85,90,100,96,100,80,-37.7058667825691,142.720606892771
Wilby,3728,Victoria,House,Shepparton,78,90,100,100,100,90,-36.1415319039319,146.025985154382
Wildwood,3429,Victoria,House,Melbourne - North West,83,100,99,82,100,92,-37.5647345955039,144.800778840451
Willaura,3379,Victoria,House,North West,85,90,100,96,100,47,-37.5210311895492,142.721565567528
Williams Landing,3027,Victoria,House,Melbourne - West,60,100,100,67,100,100,-37.8631470697217,144.744370235715
Williams Landing,3027,Victoria,Unit,Melbourne - West,59,75,100,100,100,100,-37.8631470697217,144.744370235715
Williamstown (Vic.),3016,Victoria,Unit,Melbourne - West,75,75,94,100,100,100,-37.8609897066219,144.888624950953
Williamstown (Vic.),3016,Victoria,House,Melbourne - West,67,100,94,38,75,56,-37.8609897066219,144.888624950953
Williamstown North,3016,Victoria,Unit,Melbourne - West,82,75,94,100,100,100,-37.852886416741,144.86778621323
Williamstown North,3016,Victoria,House,Melbourne - West,77,100,94,37,69,74,-37.852886416741,144.86778621323
Willow Grove,3825,Victoria,House,Latrobe - Gippsland,74,90,100,51,100,100,-38.0771355165386,146.164440811199
Willowmavin,3764,Victoria,House,Hume,71,90,100,81,100,100,-37.2489206462536,144.876754174788
Wimbledon Heights,3922,Victoria,House,Latrobe - Gippsland,65,90,100,58,79,10,-38.480885445399,145.23415902575601
Winchelsea,3241,Victoria,Unit,Geelong,82,75,92,93,100,100,-38.2310740545766,143.967430047441
Winchelsea,3241,Victoria,House,Geelong,72,100,92,65,98,92,-38.2310740545766,143.967430047441
Winchelsea South,3241,Victoria,House,Geelong,80,100,92,55,100,100,-38.3232065941423,143.982627068841
Windsor (Vic.),3181,Victoria,Unit,Melbourne - Inner,66,75,36,100,100,100,-37.854715144656,144.992819607616
Windsor (Vic.),3181,Victoria,House,Melbourne - Inner,62,100,36,54,76,10,-37.854715144656,144.992819607616
Winslow,3281,Victoria,House,Warrnambool and South West,77,90,100,100,100,100,-38.2372763178491,142.461488273486
Winter Valley,3358,Victoria,House,Ballarat,65,90,86,75,100,100,-37.5788292228957,143.794662205716
Winton (Vic.),3673,Victoria,House,Hume,74,90,100,92,100,100,-36.5198818821162,146.093155299509
Wiseleigh,3885,Victoria,House,Latrobe - Gippsland,68,90,86,78,100,86,-37.710096079492,147.787596388501
Wodonga,3690,Victoria,Unit,Hume,75,68,100,100,100,100,-36.1253654117209,146.893334985137
Wodonga,3690,Victoria,House,Hume,73,90,100,99,100,64,-36.1253654117209,146.893334985137
Wollert,3750,Victoria,House,Melbourne - North East,69,100,100,87,100,96,-37.590840032829,145.009261303129
Wollert,3750,Victoria,Unit,Melbourne - North East,60,75,100,100,100,100,-37.590840032829,145.009261303129
Won Wron,3971,Victoria,House,Latrobe - Gippsland,86,90,95,82,100,100,-38.4660540184287,146.737075208118
Wonga Park,3115,Victoria,House,Melbourne - Outer East,66,90,100,62,91,41,-37.7354696803886,145.264998246906
Wonthaggi,3995,Victoria,House,Latrobe - Gippsland,75,90,100,88,80,10,-38.6214449302208,145.588716928766
Wonthaggi,3995,Victoria,Unit,Latrobe - Gippsland,70,68,100,92,90,12,-38.6214449302208,145.588716928766
Woodend (Vic.),3442,Victoria,Unit,Bendigo,79,68,100,83,100,100,-37.3691319825402,144.530902970353
Woodend (Vic.),3442,Victoria,House,Bendigo,77,90,100,57,95,96,-37.3691319825402,144.530902970353
Woodend North,3442,Victoria,House,Bendigo,75,90,100,58,98,100,-37.3185085686026,144.509276880657
Woodford (Vic.),3281,Victoria,House,Warrnambool and South West,73,90,100,88,100,100,-38.3153429226961,142.482615777533
Woodleigh (Vic.),3945,Victoria,House,Latrobe - Gippsland,61,90,100,70,83,10,-38.3912001397818,145.615977137833
Woodside (Vic.),3874,Victoria,House,Latrobe - Gippsland,78,90,95,82,100,87,-38.533137085542,146.903863706647
Woodside Beach,3874,Victoria,House,Latrobe - Gippsland,82,90,95,82,100,67,-38.5460893720206,146.977319833661
Woodstock (Vic.),3751,Victoria,House,Melbourne - North East,79,100,100,67,88,56,-37.5452573516421,145.061868328925
Woodvale (Vic.),3556,Victoria,House,Bendigo,70,90,78,68,94,40,-36.6649647414819,144.195351836327
Woolamai,3995,Victoria,House,Latrobe - Gippsland,88,90,100,70,96,76,-38.5078863941614,145.51520022125
Woolsthorpe,3276,Victoria,House,Warrnambool and South West,75,90,100,100,100,100,-38.1519721170523,142.456155432032
Woomelang,3485,Victoria,House,North West,69,90,100,100,100,10,-35.6778962857042,142.625193294194
Wooragee,3747,Victoria,House,Hume,80,90,100,45,96,100,-36.2912708871143,146.743380118105
Woori Yallock,3139,Victoria,House,Melbourne - Outer East,70,100,100,71,100,89,-37.7794893809534,145.531409919553
Woorinen,3589,Victoria,House,North West,79,90,100,100,100,100,-35.2637742743519,143.467413380859
Woorinen South,3588,Victoria,House,North West,80,90,100,100,100,100,-35.288568721939,143.454984960676
Woorndoo,3272,Victoria,House,North West,88,90,100,100,100,93,-37.8830423074286,142.802886924138
Wunghnu,3635,Victoria,House,Shepparton,88,90,100,94,100,100,-36.1661674929085,145.42217943754
Wurdiboluc,3241,Victoria,House,Geelong,70,100,92,55,100,100,-38.2901390395658,144.054277964174
Wurruk,3850,Victoria,House,Latrobe - Gippsland,82,90,95,100,100,90,-38.1103901847415,147.033582401936
Wy Yung,3875,Victoria,House,Latrobe - Gippsland,79,90,86,100,100,95,-37.7900654016165,147.613308502368
Wy Yung,3875,Victoria,Unit,Latrobe - Gippsland,70,68,86,100,100,100,-37.7900654016165,147.613308502368
Wycheproof,3527,Victoria,House,North West,90,90,100,100,100,84,-36.0678406281412,143.230739937512
Wyndham Vale,3024,Victoria,House,Melbourne - West,68,100,100,82,100,100,-37.8591025655695,144.608846221518
Wyndham Vale,3024,Victoria,Unit,Melbourne - West,60,75,100,100,100,100,-37.8591025655695,144.608846221518
Wyuna (Vic.),3620,Victoria,House,Shepparton,88,90,100,95,100,100,-36.209130966906,145.068789358962
Yackandandah,3749,Victoria,House,Hume,83,90,100,61,100,100,-36.3298503348576,146.851683461141
Yalca,3637,Victoria,House,Shepparton,76,90,100,94,100,100,-35.9197993489622,145.290926037339
Yallambie,3085,Victoria,House,Melbourne - North East,72,100,94,51,98,100,-37.7267212499799,145.093341982762
Yallambie,3085,Victoria,Unit,Melbourne - North East,67,75,94,68,100,100,-37.7267212499799,145.093341982762
Yallourn,3825,Victoria,House,Latrobe - Gippsland,80,90,100,100,100,100,-38.1929239527809,146.342030430488
Yallourn North,3825,Victoria,House,Latrobe - Gippsland,70,90,100,100,100,95,-38.1286994147816,146.380017902387
Yambuk,3285,Victoria,House,Warrnambool and South West,84,90,100,69,88,50,-38.324066819981,142.085153201521
Yan Yean,3755,Victoria,House,Melbourne - North East,68,100,100,67,94,75,-37.5498283164046,145.130117829243
Yanakie,3960,Victoria,House,Latrobe - Gippsland,86,90,100,77,100,99,-38.8019057608914,146.195688595345
Yandoit,3461,Victoria,House,Ballarat,69,100,100,51,72,43,-37.1998668457316,144.105189325235
Yangery,3283,Victoria,House,Warrnambool and South West,68,90,100,69,100,100,-38.3191499667167,142.440699475103
Yannathan,3981,Victoria,House,Melbourne - South East,61,100,33,97,100,30,-38.2213416898314,145.649997687931
Yapeen,3451,Victoria,House,Bendigo,65,90,100,57,90,49,-37.1153951757709,144.166227403142
Yarck,3719,Victoria,House,Hume,78,90,100,76,94,60,-37.0899571383535,145.610240125452
Yarra Glen,3775,Victoria,House,Melbourne - Outer East,76,100,100,94,98,41,-37.6499661652481,145.382376093183
Yarra Glen,3775,Victoria,Unit,Melbourne - Outer East,69,75,100,69,100,100,-37.6499661652481,145.382376093183
Yarra Junction,3797,Victoria,Unit,Melbourne - Outer East,71,75,100,75,96,67,-37.7961913924886,145.627208949941
Yarra Junction,3797,Victoria,House,Melbourne - Outer East,70,100,100,65,81,36,-37.7961913924886,145.627208949941
Yarragon,3823,Victoria,House,Latrobe - Gippsland,79,90,100,74,98,75,-38.1863315704047,146.085971326803
Yarragon South,3823,Victoria,House,Latrobe - Gippsland,85,90,100,74,100,97,-38.2567879079183,146.058697755421
Yarram,3971,Victoria,Unit,Latrobe - Gippsland,81,68,95,63,100,100,-38.5632015676555,146.714239831394
Yarram,3971,Victoria,House,Latrobe - Gippsland,70,90,95,10,100,39,-38.5632015676555,146.714239831394
Yarrambat,3091,Victoria,House,Melbourne - North East,81,90,100,57,100,100,-37.6379376656502,145.136444579541
Yarraville,3013,Victoria,Unit,Melbourne - West,64,75,72,86,100,100,-37.8178773200593,144.882656408094
Yarraville,3013,Victoria,House,Melbourne - West,62,100,72,44,94,93,-37.8178773200593,144.882656408094
Yarrawonga (Vic.),3730,Victoria,House,Shepparton,76,90,100,87,90,20,-36.0339208864987,145.999140082218
Yarrawonga (Vic.),3730,Victoria,Unit,Shepparton,72,68,100,99,100,78,-36.0339208864987,145.999140082218
Yarroweyah,3644,Victoria,House,Shepparton,77,90,100,94,100,96,-35.9422968333306,145.566630612101
Yea,3717,Victoria,House,Hume,76,90,100,92,93,24,-37.2779902900568,145.408903454915
Yellingbo,3139,Victoria,House,Melbourne - Outer East,77,100,100,70,100,100,-37.8486939338873,145.521538141028
Yelta (Vic.),3505,Victoria,House,North West,80,90,100,83,100,100,-34.1260416877402,142.009026350349
Yendon,3352,Victoria,House,Ballarat,84,100,100,57,100,100,-37.6448924026998,143.976873727513
Yeo,3249,Victoria,House,Warrnambool and South West,74,90,100,54,100,100,-38.3696607553069,143.647170938718
Yinnar,3869,Victoria,House,Latrobe - Gippsland,78,90,100,97,100,100,-38.3324942178006,146.305339251081
Yinnar South,3869,Victoria,House,Latrobe - Gippsland,72,90,100,97,100,100,-38.3704128338158,146.35624816092
Yulecart,3301,Victoria,House,Warrnambool and South West,80,90,100,100,100,100,-37.7545997190076,141.908242504962
Yuroke,3063,Victoria,House,Melbourne - North West,86,100,99,79,100,100,-37.5795305934648,144.860523532517
Zeerust,3634,Victoria,House,Shepparton,65,90,100,63,100,100,-36.2746003580334,145.400174738888
Abergowrie,4850,Queensland,House,Townsville,72,90,1,100,100,100,-18.4388924181051,145.924079759165
Acacia Ridge,4110,Queensland,Unit,Brisbane - South,76,68,100,81,100,92,-27.5842833385198,153.021988850287
Acacia Ridge,4110,Queensland,House,Brisbane - South,68,90,100,66,82,37,-27.5842833385198,153.021988850287
Adare,4343,Queensland,House,Toowoomba,65,90,100,96,100,31,-27.5121477168918,152.288719485584
Adelaide Park,4703,Queensland,House,Central Queensland,62,90,65,78,100,49,-23.0981022324893,150.697416201707
Advancetown,4211,Queensland,House,Gold Coast,81,90,100,91,100,57,-28.061901988413,153.278135926679
Aeroglen,4870,Queensland,House,Cairns,65,90,79,100,100,10,-16.8771766262906,145.760230375531
Agnes Water,4677,Queensland,House,Central Queensland,49,90,13,75,64,10,-24.2245349536885,151.893338985329
Agnes Water,4677,Queensland,Unit,Central Queensland,37,68,13,98,94,17,-24.2245349536885,151.893338985329
Airdmillan,4807,Queensland,House,Townsville,72,90,1,100,100,100,-19.522725339368,147.477753636836
Airlie Beach,4802,Queensland,House,Mackay - Isaac - Whitsunday,61,90,83,100,79,10,-20.27314392959,148.717763645358
Airlie Beach,4802,Queensland,Unit,Mackay - Isaac - Whitsunday,52,68,83,100,100,52,-20.27314392959,148.717763645358
Airville,4807,Queensland,House,Townsville,73,90,1,100,100,100,-19.6371653029654,147.350514360847
Aitkenvale,4814,Queensland,Unit,Townsville,65,68,48,100,100,100,-19.2985521282829,146.769452649305
Aitkenvale,4814,Queensland,House,Townsville,50,90,48,98,100,54,-19.2985521282829,146.769452649305
Albany Creek,4035,Queensland,Unit,Moreton Bay - South,83,68,100,100,100,94,-27.3536257116627,152.96847774877
Albany Creek,4035,Queensland,House,Moreton Bay - South,68,90,100,61,95,89,-27.3536257116627,152.96847774877
Alberton (Qld),4207,Queensland,House,Gold Coast,75,90,100,86,87,14,-27.7084031415807,153.266191982589
Albion (Brisbane - Qld),4010,Queensland,House,Brisbane Inner City,73,90,100,50,75,57,-27.4335571512851,153.044496370561
Albion (Brisbane - Qld),4010,Queensland,Unit,Brisbane Inner City,59,68,100,100,100,96,-27.4335571512851,153.044496370561
Alderley,4051,Queensland,House,Brisbane Inner City,70,90,100,40,82,97,-27.4253280457402,153.00090547355
Alderley,4051,Queensland,Unit,Brisbane Inner City,61,68,100,87,100,100,-27.4253280457402,153.00090547355
Aldershot,4650,Queensland,House,Wide Bay,65,90,100,100,97,10,-25.4747190811713,152.662651431412
Alexandra (Qld),4740,Queensland,House,Mackay - Isaac - Whitsunday,55,90,26,98,100,83,-21.1625596869744,149.095717939705
Alexandra Headland,4572,Queensland,Unit,Sunshine Coast,70,68,100,82,100,69,-26.6696288189105,153.101773220725
Alexandra Headland,4572,Queensland,House,Sunshine Coast,56,90,100,25,10,10,-26.6696288189105,153.101773220725
Alexandra Hills,4161,Queensland,Unit,Brisbane - East,85,68,100,88,100,100,-27.5391525800772,153.228025663598
Alexandra Hills,4161,Queensland,House,Brisbane - East,66,90,100,74,95,30,-27.5391525800772,153.228025663598
Algester,4115,Queensland,Unit,Brisbane - South,73,68,100,100,100,76,-27.6124613365438,153.032843463471
Algester,4115,Queensland,House,Brisbane - South,71,90,100,65,86,52,-27.6124613365438,153.032843463471
Alice River,4817,Queensland,House,Townsville,48,90,48,87,100,85,-19.3500498164476,146.619120364287
Allenstown,4700,Queensland,Unit,Central Queensland,65,68,65,100,100,93,-23.3958593654189,150.505545619554
Allenstown,4700,Queensland,House,Central Queensland,54,90,65,100,100,25,-23.3958593654189,150.505545619554
Allenview,4285,Queensland,House,Logan - Beaudesert,82,90,100,82,100,98,-27.9117473255778,152.915766931669
Alligator Creek (Mackay - Qld),4740,Queensland,House,Mackay - Isaac - Whitsunday,62,90,26,100,100,100,-21.306948726083,149.224843792514
Alligator Creek (Townsville - Qld),4816,Queensland,House,Townsville,53,90,48,94,100,100,-19.4149893273487,146.928870203707
Allora,4362,Queensland,House,Darling Downs - Maranoa,87,90,96,100,99,21,-28.0182021925649,151.986989020083
Alloway,4670,Queensland,House,Wide Bay,79,90,100,91,100,71,-24.9533450071174,152.362959162943
Aloomba,4871,Queensland,House,Cairns,81,90,65,96,100,100,-17.1380067052627,145.862761685433
Alpha,4724,Queensland,House,Queensland - Outback,75,90,1,100,100,100,-23.6007813049498,146.720287650965
Alton Downs,4702,Queensland,House,Central Queensland,64,90,65,61,100,100,-23.3136963394977,150.373310587164
Alva,4807,Queensland,House,Townsville,74,90,1,100,100,100,-19.4113386371363,147.459009630738
Amamoor,4570,Queensland,House,Wide Bay,69,90,100,66,69,10,-26.3459417701844,152.680455774729
Ambrose,4695,Queensland,House,Central Queensland,55,90,13,100,87,10,-23.8114065345014,150.884544466729
Amiens,4380,Queensland,House,Darling Downs - Maranoa,90,90,96,86,100,100,-28.599333304908,151.817321524259
Amity,4183,Queensland,House,Brisbane - East,70,90,100,100,10,10,-27.4004210101722,153.45227381353
Andergrove,4740,Queensland,Unit,Mackay - Isaac - Whitsunday,62,68,26,100,100,100,-21.0927118909534,149.185710486012
Andergrove,4740,Queensland,House,Mackay - Isaac - Whitsunday,47,90,26,100,100,36,-21.0927118909534,149.185710486012
Anderleigh,4570,Queensland,House,Wide Bay,60,90,100,66,83,10,-26.0174531118264,152.678980435666
Annandale (Qld),4814,Queensland,House,Townsville,52,90,48,90,100,95,-19.3095119735752,146.783803600985
Annerley,4103,Queensland,Unit,Brisbane - South,71,68,100,79,100,98,-27.5125817658476,153.03268872115
Annerley,4103,Queensland,House,Brisbane - South,66,90,100,45,68,14,-27.5125817658476,153.03268872115
Anstead,4070,Queensland,House,Brisbane - West,67,90,100,33,77,76,-27.538122661582,152.866673073316
Anthony,4310,Queensland,House,Ipswich,80,90,100,74,100,100,-27.8809562205068,152.688278775604
Antigua,4650,Queensland,House,Wide Bay,64,90,100,93,84,10,-25.6356704168199,152.591368664726
Apple Tree Creek,4660,Queensland,House,Wide Bay,63,90,100,91,85,10,-25.2335327075613,152.222604893847
Applethorpe,4378,Queensland,House,Darling Downs - Maranoa,88,90,96,86,100,100,-28.6158130162961,151.935609938928
Araluen (Qld),4570,Queensland,House,Wide Bay,74,90,100,93,100,63,-26.1583902534806,152.66145263612
Aramac,4726,Queensland,House,Queensland - Outback,77,90,1,100,100,100,-22.4523247747687,145.478225833234
Arana Hills,4054,Queensland,Unit,Moreton Bay - South,67,68,100,100,100,68,-27.3942176404965,152.953426204927
Arana Hills,4054,Queensland,House,Moreton Bay - South,65,90,100,65,99,64,-27.3942176404965,152.953426204927
Aratula (Qld),4309,Queensland,House,Ipswich,75,90,100,74,89,44,-27.9830854830361,152.5391154715
Arcadia (Qld),4819,Queensland,House,Townsville,57,90,48,87,81,10,-19.1432048660689,146.85961959805
Arcadia Valley,4702,Queensland,House,Central Queensland,54,90,1,100,100,89,-25.0136949930031,148.742425811141
Archerfield,4108,Queensland,House,Brisbane - South,79,90,100,71,87,45,-27.5671466999763,153.010387902472
Arcturus,4722,Queensland,House,Central Queensland,55,90,1,100,100,100,-23.9757202130213,148.327121010624
Armstrong Beach,4737,Queensland,House,Mackay - Isaac - Whitsunday,56,90,26,100,100,77,-21.4454233664875,149.269131478341
Armstrong Creek (Qld),4520,Queensland,House,Moreton Bay - South,61,90,100,48,85,56,-27.2176927244653,152.788543868058
Aroona,4551,Queensland,Unit,Sunshine Coast,66,68,100,90,100,81,-26.7825923811795,153.115956541456
Aroona,4551,Queensland,House,Sunshine Coast,61,90,100,66,83,10,-26.7825923811795,153.115956541456
Arriga,4880,Queensland,House,Queensland - Outback,77,90,10,100,100,100,-17.066171288975,145.286964891971
Arundel,4214,Queensland,Unit,Gold Coast,72,68,100,100,100,42,-27.9404231745981,153.364298127891
Arundel,4214,Queensland,House,Gold Coast,66,90,100,68,69,10,-27.9404231745981,153.364298127891
Ascot (Brisbane - Qld),4007,Queensland,Unit,Brisbane Inner City,70,68,100,89,100,100,-27.4298460388241,153.064146612807
Ascot (Brisbane - Qld),4007,Queensland,House,Brisbane Inner City,67,90,100,38,38,10,-27.4298460388241,153.064146612807
Ashfield (Qld),4670,Queensland,House,Wide Bay,63,90,100,100,100,100,-24.8704664964205,152.39738445746
Ashgrove,4060,Queensland,Unit,Brisbane Inner City,71,68,100,71,100,100,-27.4429784522409,152.982742530453
Ashgrove,4060,Queensland,House,Brisbane Inner City,70,90,100,30,81,100,-27.4429784522409,152.982742530453
Ashmore,4214,Queensland,Unit,Gold Coast,76,68,100,90,97,45,-27.9881131076185,153.372429427145
Ashmore,4214,Queensland,House,Gold Coast,62,90,100,68,67,10,-27.9881131076185,153.372429427145
Aspley,4034,Queensland,Unit,Brisbane - North,78,68,100,81,100,88,-27.3656804710299,153.01565098859
Aspley,4034,Queensland,House,Brisbane - North,63,90,100,59,80,12,-27.3656804710299,153.01565098859
Atherton,4883,Queensland,Unit,Cairns,80,68,62,96,100,93,-17.2700738912132,145.481930011729
Atherton,4883,Queensland,House,Cairns,69,90,62,100,100,24,-17.2700738912132,145.481930011729
Athol,4350,Queensland,House,Darling Downs - Maranoa,82,90,82,100,100,61,-27.6126070271163,151.769090038019
Atkinsons Dam,4311,Queensland,House,Ipswich,67,90,100,82,80,10,-27.4139869439119,152.427790900389
Aubigny,4401,Queensland,House,Darling Downs - Maranoa,76,90,82,100,100,100,-27.5092678175707,151.665887789771
Auchenflower,4066,Queensland,Unit,Brisbane Inner City,72,68,100,85,100,100,-27.4739125493093,152.994671133454
Auchenflower,4066,Queensland,House,Brisbane Inner City,72,90,100,33,65,78,-27.4739125493093,152.994671133454
Augathella,4477,Queensland,House,Queensland - Outback,62,90,1,100,100,100,-25.7991098794388,146.588605715748
Augustine Heights,4300,Queensland,Unit,Ipswich,71,68,100,44,100,100,-27.661635286606,152.879347669025
Augustine Heights,4300,Queensland,House,Ipswich,55,90,100,71,100,100,-27.661635286606,152.879347669025
Austinville,4213,Queensland,House,Gold Coast,80,90,100,91,95,35,-28.158010595004,153.309845045639
Avenell Heights,4670,Queensland,Unit,Wide Bay,78,68,100,100,100,74,-24.8899477187184,152.365525112288
Avenell Heights,4670,Queensland,House,Wide Bay,60,90,100,100,91,10,-24.8899477187184,152.365525112288
Avoca (Qld),4670,Queensland,Unit,Wide Bay,86,68,100,100,100,76,-24.8811540636947,152.306688789107
Avoca (Qld),4670,Queensland,House,Wide Bay,60,90,100,100,91,10,-24.8811540636947,152.306688789107
Avondale (Qld),4670,Queensland,House,Wide Bay,71,90,100,78,81,10,-24.7644834902392,152.142932768764
Ayr,4807,Queensland,Unit,Townsville,70,68,1,100,100,100,-19.5628359015459,147.404168448462
Ayr,4807,Queensland,House,Townsville,62,90,1,100,100,77,-19.5628359015459,147.404168448462
Babinda (Qld),4861,Queensland,House,Cairns,76,90,65,96,100,56,-17.3340945778634,145.936480742374
Badu Island,4875,Queensland,House,Queensland - Outback,46,90,10,10,100,100,-10.1210296222786,142.140457041438
Baffle Creek,4674,Queensland,House,Central Queensland,53,90,13,100,82,10,-24.4732931440798,151.904254114238
Bahrs Scrub,4207,Queensland,Unit,Logan - Beaudesert,67,68,100,50,100,100,-27.7381003143589,153.173284936926
Bahrs Scrub,4207,Queensland,House,Logan - Beaudesert,64,90,100,82,100,70,-27.7381003143589,153.173284936926
Bajool,4699,Queensland,House,Central Queensland,64,90,65,64,97,60,-23.6953176252404,150.591078457787
Bakers Creek (Qld),4740,Queensland,House,Mackay - Isaac - Whitsunday,57,90,26,100,100,42,-21.2160134998717,149.16099985691
Balberra,4740,Queensland,House,Mackay - Isaac - Whitsunday,59,90,26,98,100,73,-21.2992634694675,149.144849290695
Bald Hills (Qld),4036,Queensland,House,Brisbane - North,74,90,100,76,100,82,-27.3073878941105,153.017221211118
Bald Hills (Qld),4036,Queensland,Unit,Brisbane - North,58,68,100,64,100,100,-27.3073878941105,153.017221211118
Bald Knob,4552,Queensland,House,Sunshine Coast,80,90,100,50,80,68,-26.7822490491713,152.910003386034
Balgal Beach,4816,Queensland,House,Townsville,49,90,48,92,88,10,-19.0355813969806,146.409192264926
Ball Bay,4741,Queensland,House,Mackay - Isaac - Whitsunday,49,90,26,99,100,27,-20.9237874005268,148.989936686848
Ballandean,4382,Queensland,House,Darling Downs - Maranoa,86,90,96,86,100,100,-28.8646511212084,151.788375783823
Ballard,4352,Queensland,House,Toowoomba,74,90,100,77,100,92,-27.4995261576902,151.980730581245
Ballogie,4610,Queensland,House,Wide Bay,78,90,76,100,99,10,-26.3429808952485,151.510846310177
Balmoral (Qld),4171,Queensland,Unit,Brisbane Inner City,70,68,100,77,100,100,-27.4566774309462,153.068941356242
Balmoral (Qld),4171,Queensland,House,Brisbane Inner City,60,90,100,34,69,52,-27.4566774309462,153.068941356242
Balmoral Ridge,4552,Queensland,House,Sunshine Coast,60,90,100,50,83,45,-26.7436193155017,152.89062725437
Balnagowan,4740,Queensland,House,Mackay - Isaac - Whitsunday,51,90,26,99,100,100,-21.1147738354018,149.009036322124
Bambaroo,4850,Queensland,House,Townsville,72,90,1,100,100,60,-18.8876809935054,146.181725204254
Bamboo,4873,Queensland,House,Cairns,76,90,30,100,100,87,-16.3531757151013,145.390267132188
Banana,4702,Queensland,House,Central Queensland,75,90,1,100,100,100,-24.5302308328605,150.128535292078
Bancroft,4630,Queensland,House,Wide Bay,71,90,76,100,100,53,-24.7895167423158,151.284746542772
Bangalee (Qld),4703,Queensland,House,Central Queensland,49,90,65,78,94,19,-23.0746610865078,150.763958133273
Banks Pocket,4570,Queensland,House,Wide Bay,84,90,100,93,100,100,-26.151869989109,152.671028212168
Banksia Beach,4507,Queensland,Unit,Moreton Bay - North,65,68,100,87,98,52,-27.0392383077636,153.139991076307
Banksia Beach,4507,Queensland,House,Moreton Bay - North,59,90,100,79,64,10,-27.0392383077636,153.139991076307
Bannockburn (Qld),4207,Queensland,House,Logan - Beaudesert,62,90,100,69,95,43,-27.7599886575008,153.192097711705
Banyo,4014,Queensland,Unit,Brisbane - North,79,68,100,100,100,95,-27.3787463482547,153.082649149068
Banyo,4014,Queensland,House,Brisbane - North,68,90,100,66,96,52,-27.3787463482547,153.082649149068
Baralaba,4702,Queensland,House,Central Queensland,75,90,1,100,100,100,-24.2879955585851,149.931581338325
Barcaldine,4725,Queensland,House,Queensland - Outback,75,90,1,100,100,100,-23.5703173494684,145.333754958724
Bardon,4065,Queensland,Unit,Brisbane Inner City,71,68,100,56,100,100,-27.4596728794343,152.977536022509
Bardon,4065,Queensland,House,Brisbane Inner City,69,90,100,34,88,100,-27.4596728794343,152.977536022509
Baree,4714,Queensland,House,Central Queensland,65,90,65,100,100,10,-23.6204783384626,150.390698753992
Barellan Point,4306,Queensland,House,Ipswich,75,90,100,46,98,100,-27.571286354797,152.843806172113
Bargara,4670,Queensland,Unit,Wide Bay,77,68,100,100,99,29,-24.826139712028,152.456369544882
Bargara,4670,Queensland,House,Wide Bay,58,90,100,80,82,10,-24.826139712028,152.456369544882
