Suburb,Postcode,State,"Property
Type","Region
(SA4)",Investor Score (Out Of 100),Growth Gap Index,10 Year Growth,Yield Score,Buy Affordability Score,Rent Affordability Score,Latitude,Longitude
Bateau Bay,2261,New South Wales,House,Central Coast,60,90,100,46,59,10,-33.3847784397896,151.471784962028
Batehaven,2536,New South Wales,Unit,Capital Region,79,68,100,92,100,61,-35.7354928607247,150.200855760524
Batehaven,2536,New South Wales,House,Capital Region,65,90,100,56,71,10,-35.7354928607247,150.200855760524
Batemans Bay,2536,New South Wales,Unit,Capital Region,76,68,100,92,82,10,-35.7086269818384,150.157340237139
Batemans Bay,2536,New South Wales,House,Capital Region,66,90,100,66,42,10,-35.7086269818384,150.157340237139
Bathurst,2795,New South Wales,Unit,Central West,76,68,100,84,100,86,-33.418966168,149.57903825231
Bathurst,2795,New South Wales,House,Central West,65,90,100,68,88,17,-33.418966168,149.57903825231
Batlow,2730,New South Wales,House,Riverina,86,90,100,100,100,81,-35.5571764254502,148.163589599622
Baulkham Hills,2153,New South Wales,Unit,Sydney - Baulkham Hills and Hawkesbury,71,68,100,61,100,100,-33.7537675193192,150.983503807656
Baulkham Hills,2153,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,67,90,100,25,60,90,-33.7537675193192,150.983503807656
Baw Baw (NSW),2580,New South Wales,House,Capital Region,67,90,100,69,100,100,-34.7099250190192,149.637449544589
Bawley Point,2539,New South Wales,House,Southern Highlands and Shoalhaven,76,90,100,51,64,25,-35.5078743989969,150.383714075875
Bayview (NSW),2104,New South Wales,Unit,Sydney - Northern Beaches,79,68,100,58,86,67,-33.6605926017083,151.292344594187
Bayview (NSW),2104,New South Wales,House,Sydney - Northern Beaches,62,90,100,38,10,10,-33.6605926017083,151.292344594187
Beacon Hill,2100,New South Wales,Unit,Sydney - Northern Beaches,74,68,100,18,85,100,-33.7514630329656,151.25901211528
Beacon Hill,2100,New South Wales,House,Sydney - Northern Beaches,70,90,100,37,62,60,-33.7514630329656,151.25901211528
Beaconsfield (NSW),2015,New South Wales,Unit,Sydney - City and Inner South,82,68,96,100,100,93,-33.9113928069223,151.200559851375
Beaconsfield (NSW),2015,New South Wales,House,Sydney - City and Inner South,65,90,96,43,63,10,-33.9113928069223,151.200559851375
Beaumont (NSW),2577,New South Wales,House,Southern Highlands and Shoalhaven,78,90,100,52,76,55,-34.7792268967283,150.574758747528
Beaumont Hills,2155,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,71,90,100,39,86,100,-33.6977557018308,150.940575654017
Beckom,2665,New South Wales,House,Riverina,74,90,100,100,100,34,-34.2890233595882,146.952565046758
Bective,2340,New South Wales,House,New England and North West,69,90,53,99,100,100,-31.0026596450688,150.726626172443
Bedgerabong,2871,New South Wales,House,Central West,89,90,100,94,100,91,-33.3316581877616,147.704935345876
Beechwood,2446,New South Wales,House,Mid North Coast,64,90,100,87,99,58,-31.4450937881135,152.658602519972
Beecroft,2119,New South Wales,Unit,Sydney - Ryde,78,68,100,28,86,100,-33.7534913559017,151.061552263075
Beecroft,2119,New South Wales,House,Sydney - Ryde,62,90,100,24,52,47,-33.7534913559017,151.061552263075
Beelbangera,2680,New South Wales,House,Riverina,82,90,76,72,100,100,-34.239150998841,146.108831259761
Bega,2550,New South Wales,Unit,Capital Region,80,68,100,56,89,80,-36.6855489815381,149.843506993727
Bega,2550,New South Wales,House,Capital Region,71,90,100,91,91,17,-36.6855489815381,149.843506993727
Belbora,2422,New South Wales,House,Mid North Coast,69,90,100,58,56,10,-31.9792886489877,152.172931293196
Belfield,2191,New South Wales,Unit,Sydney - Inner South West,82,68,100,100,100,74,-33.9042367140705,151.085570329855
Belfield,2191,New South Wales,House,Sydney - Inner South West,70,90,100,30,27,10,-33.9042367140705,151.085570329855
Belford,2335,New South Wales,House,Hunter Valley exc Newcastle,83,90,100,88,100,100,-32.6689787966192,151.290494066799
Belgravia,2800,New South Wales,House,Central West,72,90,100,77,100,100,-33.1059760171895,149.040451296899
Belimbla Park,2570,New South Wales,House,Sydney - Outer South West,62,90,100,25,62,66,-34.0832771046814,150.540187480167
Bella Vista,2153,New South Wales,Unit,Sydney - Baulkham Hills and Hawkesbury,84,68,100,53,100,100,-33.7403412463323,150.956229681631
Bella Vista,2153,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,73,90,100,26,70,100,-33.7403412463323,150.956229681631
Bellambi,2518,New South Wales,House,Illawarra,69,90,100,55,44,10,-34.3691906713222,150.919145573235
Bellambi,2518,New South Wales,Unit,Illawarra,68,68,100,76,90,44,-34.3691906713222,150.919145573235
Bellangry,2446,New South Wales,House,Mid North Coast,67,90,100,54,66,20,-31.3263024119584,152.582064196455
Bellata,2397,New South Wales,House,New England and North West,75,90,1,100,100,92,-29.919868328854,149.793170639987
Bellawongarah,2535,New South Wales,House,Southern Highlands and Shoalhaven,69,90,100,52,87,52,-34.7591191775023,150.613976618984
Bellbird,2325,New South Wales,House,Hunter Valley exc Newcastle,71,90,100,95,100,51,-32.8550005973872,151.318327435169
Bellbird,2325,New South Wales,Unit,Hunter Valley exc Newcastle,68,68,100,95,100,94,-32.8550005973872,151.318327435169
Bellbird Heights,2325,New South Wales,House,Hunter Valley exc Newcastle,71,90,100,86,100,69,-32.8488149662855,151.330037162973
Bellbrook,2440,New South Wales,House,Mid North Coast,78,90,100,57,45,10,-30.7368071256038,152.485731571236
Bellevue Hill,2023,New South Wales,Unit,Sydney - Eastern Suburbs,70,68,100,65,100,100,-33.8797236674785,151.254977425048
Bellevue Hill,2023,New South Wales,House,Sydney - Eastern Suburbs,57,90,100,13,10,10,-33.8797236674785,151.254977425048
Bellingen,2454,New South Wales,Unit,Coffs Harbour - Grafton,81,68,100,49,100,100,-30.4540134274856,152.907867244665
Bellingen,2454,New South Wales,House,Coffs Harbour - Grafton,67,90,100,62,67,10,-30.4540134274856,152.907867244665
Bellmount Forest,2581,New South Wales,House,Capital Region,69,90,100,48,98,100,-34.9025156361449,149.229692919567
Belmont (NSW),2280,New South Wales,Unit,Newcastle and Lake Macquarie,77,68,100,76,98,72,-33.031828145521,151.673452032998
Belmont (NSW),2280,New South Wales,House,Newcastle and Lake Macquarie,65,90,100,59,64,10,-33.031828145521,151.673452032998
Belmont North,2280,New South Wales,Unit,Newcastle and Lake Macquarie,77,68,100,71,100,100,-33.0133893999939,151.673543663065
